# contracts/upstream-apply-exceptions.tsv — statements skipped while building
# contracts/upstream-schema.sql, and the guard messages PostgreSQL emitted.
#
# Generated by scripts/build_upstream_schema.py — do not edit by hand.  Every
# statement-skip row is cross-checked against contracts/schema-deviations.tsv: a skip
# with no registered deviation there fails scripts/schema_drift.py, and so does a
# registered `apply-exception:` row with no skip here.
#
# category    extension-unavailable  this server lacks an extension the statement needs
#             unsupported-statement  PostgreSQL refused the statement for another reason
#             guard-notice           upstream wrapped the statement in DO ... EXCEPTION
#                                    and PostgreSQL reported the skip at runtime
# file/line    where the statement starts in the vendored file
# objects      the keys the skipped statement was going to create, kind:name — a
#              statement whose DDL could not be parsed is keyed `statement:<file>:<line>`
#              so that no skip can escape contracts/schema-deviations.tsv
# upstream repo: https://github.com/louloulin/multica
# upstream commit: f41fae6b08fb734afcbd13205c0b3203dd0bc9c6
# applied: 560 migration files, 1142 statements
# skipped: 9 statement(s), 0 guard notice(s)
#
# file	line	category	reason	objects	statement
032_issue_search_index.up.sql	3	extension-unavailable	extension not installed on this server (pg_bigm:pg_bigm)	extension:pg_bigm	DO $$ BEGIN CREATE EXTENSION IF NOT EXISTS pg_bigm; EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'pg_bigm not available, skipping bigram indexes'; END $$
032_issue_search_index.up.sql	13	extension-unavailable	extension not installed on this server (pg_bigm:gin_bigm_ops)	index:idx_issue_title_bigm,index:idx_issue_description_bigm	DO $$ BEGIN CREATE INDEX idx_issue_title_bigm ON issue USING gin (title gin_bigm_ops); CREATE INDEX idx_issue_description_bigm ON issue USING gin (COALESCE(description, '') gin_bigm_ops); EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'skipping bigram indexes (pg_bigm not installed)'; END $$
033_comment_search_index.up.sql	3	extension-unavailable	extension not installed on this server (pg_bigm:gin_bigm_ops)	index:idx_comment_content_bigm	DO $$ BEGIN CREATE INDEX idx_comment_content_bigm ON comment USING gin (content gin_bigm_ops); EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'skipping bigram index on comment (pg_bigm not installed)'; END $$
036_search_index_lower.up.sql	13	extension-unavailable	extension not installed on this server (pg_bigm:gin_bigm_ops)	index:idx_issue_title_bigm,index:idx_issue_description_bigm	DO $$ BEGIN CREATE INDEX idx_issue_title_bigm ON issue USING gin (LOWER(title) gin_bigm_ops); CREATE INDEX idx_issue_description_bigm ON issue USING gin (LOWER(COALESCE(description, '')) gin_bigm_ops); EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'skipping bigram indexes on issue (pg_bigm not installed)'; END $$
036_search_index_lower.up.sql	22	extension-unavailable	extension not installed on this server (pg_bigm:gin_bigm_ops)	index:idx_comment_content_bigm	DO $$ BEGIN CREATE INDEX idx_comment_content_bigm ON comment USING gin (LOWER(content) gin_bigm_ops); EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'skipping bigram index on comment (pg_bigm not installed)'; END $$
039_project_search_index.up.sql	2	extension-unavailable	extension not installed on this server (pg_bigm:gin_bigm_ops)	index:idx_project_title_bigm,index:idx_project_description_bigm	DO $$ BEGIN CREATE INDEX idx_project_title_bigm ON project USING gin (LOWER(title) gin_bigm_ops); CREATE INDEX idx_project_description_bigm ON project USING gin (LOWER(COALESCE(description, '')) gin_bigm_ops); EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'skipping bigram indexes on project (pg_bigm not installed)'; END $$
076_task_usage_pgcron_extension.up.sql	24	extension-unavailable	extension not installed on this server (pg_cron:pg_cron)	extension:pg_cron	DO $$ BEGIN CREATE EXTENSION IF NOT EXISTS pg_cron; EXCEPTION WHEN OTHERS THEN RAISE NOTICE 'pg_cron extension not available; skipping. Schedule rollup_task_usage_daily() via your platform''s scheduling primitive (Kubernetes CronJob, etc.).'; END $$
103_drop_legacy_daily_rollups.up.sql	101	extension-unavailable	extension not installed on this server (pg_cron:cron.)	statement:103_drop_legacy_daily_rollups.up.sql:101	DO $$ BEGIN IF EXISTS (SELECT 1 FROM pg_extension WHERE extname = 'pg_cron') THEN PERFORM cron.unschedule('rollup_task_usage_daily') FROM cron.job WHERE jobname = 'rollup_task_usage_daily'; PERFORM cron.unschedule('rollup_task_usage_dashboard_daily') FROM cron.job WHERE jobname = 'rollup_task_usage_dashboard_daily'; END IF; END $$
446_issue_properties_bigm_index.up.sql	19	extension-unavailable	extension not installed on this server (pg_bigm:gin_bigm_ops)	index:idx_issue_properties_bigm	CREATE INDEX CONCURRENTLY IF NOT EXISTS idx_issue_properties_bigm ON issue USING gin (LOWER(properties::text) gin_bigm_ops)
